 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\15C_in_CD2.txt

 Ion = Carbon [6] , Mass = 15.011 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.155E+01  1.066E+02      82 A        31 A        23 A   
   1.10 keV   2.260E+01  1.075E+02      88 A        33 A        25 A   
   1.20 keV   2.361E+01  1.082E+02      94 A        35 A        26 A   
   1.30 keV   2.457E+01  1.087E+02     100 A        37 A        28 A   
   1.40 keV   2.550E+01  1.092E+02     106 A        39 A        29 A   
   1.50 keV   2.640E+01  1.095E+02     112 A        41 A        31 A   
   1.60 keV   2.726E+01  1.097E+02     118 A        43 A        32 A   
   1.70 keV   2.810E+01  1.098E+02     123 A        45 A        33 A   
   1.80 keV   2.891E+01  1.099E+02     129 A        47 A        35 A   
   2.00 keV   3.048E+01  1.099E+02     141 A        50 A        37 A   
   2.25 keV   3.233E+01  1.097E+02     155 A        55 A        41 A   
   2.50 keV   3.408E+01  1.092E+02     170 A        59 A        44 A   
   2.75 keV   3.574E+01  1.086E+02     184 A        64 A        47 A   
   3.00 keV   3.733E+01  1.079E+02     198 A        68 A        50 A   
   3.25 keV   3.885E+01  1.072E+02     212 A        72 A        53 A   
   3.50 keV   4.032E+01  1.064E+02     226 A        76 A        56 A   
   3.75 keV   4.173E+01  1.056E+02     241 A        80 A        59 A   
   4.00 keV   4.310E+01  1.047E+02     255 A        84 A        62 A   
   4.50 keV   4.572E+01  1.029E+02     283 A        93 A        68 A   
   5.00 keV   4.819E+01  1.012E+02     311 A       100 A        74 A   
