            angle	  Ex=0.000(0d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
             5.00	         0.066301	        33.019000	         0.404860	        38.813000	         0.536600	        61.986000	         1.128200	         1.050500	         1.642500	         1.559700	        49.011000	         1.065000	        51.219000	         1.290200	
             5.10	         0.066058	        32.816000	         0.403710	        38.569000	         0.535720	        61.589000	         1.127700	         1.049900	         1.642500	         1.559500	        48.690000	         1.065300	        50.880000	         1.291000	
             5.20	         0.065818	        32.611000	         0.402580	        38.322000	         0.534860	        61.185000	         1.127300	         1.049400	         1.642500	         1.559300	        48.365000	         1.065700	        50.537000	         1.291800	
             5.30	         0.065580	        32.403000	         0.401480	        38.072000	         0.534040	        60.777000	         1.126900	         1.049000	         1.642600	         1.559200	        48.035000	         1.066100	        50.188000	         1.292700	
             5.40	         0.065347	        32.192000	         0.400400	        37.818000	         0.533250	        60.363000	         1.126700	         1.048600	         1.642800	         1.559300	        47.701000	         1.066600	        49.836000	         1.293700	
             5.50	         0.065116	        31.979000	         0.399360	        37.561000	         0.532500	        59.944000	         1.126400	         1.048300	         1.643100	         1.559400	        47.363000	         1.067200	        49.479000	         1.294800	
             5.60	         0.064890	        31.763000	         0.398340	        37.301000	         0.531800	        59.519000	         1.126300	         1.048100	         1.643500	         1.559600	        47.021000	         1.067800	        49.117000	         1.295900	
             5.70	         0.064669	        31.544000	         0.397360	        37.038000	         0.531130	        59.090000	         1.126200	         1.047900	         1.644000	         1.560000	        46.675000	         1.068400	        48.752000	         1.297100	
             5.80	         0.064452	        31.323000	         0.396410	        36.772000	         0.530510	        58.656000	         1.126200	         1.047800	         1.644600	         1.560400	        46.325000	         1.069200	        48.383000	         1.298300	
             5.90	         0.064240	        31.099000	         0.395490	        36.503000	         0.529930	        58.218000	         1.126200	         1.047800	         1.645300	         1.560900	        45.972000	         1.070000	        48.009000	         1.299700	
             6.00	         0.064034	        30.873000	         0.394620	        36.231000	         0.529410	        57.775000	         1.126400	         1.047900	         1.646200	         1.561600	        45.615000	         1.070900	        47.632000	         1.301100	
             6.10	         0.063834	        30.645000	         0.393790	        35.957000	         0.528940	        57.327000	         1.126600	         1.048100	         1.647100	         1.562400	        45.254000	         1.071800	        47.252000	         1.302600	
             6.20	         0.063641	        30.414000	         0.393010	        35.679000	         0.528520	        56.875000	         1.126900	         1.048300	         1.648200	         1.563300	        44.890000	         1.072900	        46.867000	         1.304100	
             6.30	         0.063454	        30.182000	         0.392270	        35.400000	         0.528150	        56.419000	         1.127300	         1.048700	         1.649400	         1.564400	        44.523000	         1.074000	        46.480000	         1.305800	
             6.40	         0.063274	        29.947000	         0.391580	        35.117000	         0.527850	        55.959000	         1.127800	         1.049200	         1.650700	         1.565500	        44.152000	         1.075200	        46.089000	         1.307500	
             6.50	         0.063102	        29.710000	         0.390930	        34.833000	         0.527610	        55.495000	         1.128400	         1.049700	         1.652200	         1.566900	        43.779000	         1.076400	        45.695000	         1.309400	
             6.60	         0.062938	        29.471000	         0.390350	        34.546000	         0.527440	        55.028000	         1.129100	         1.050400	         1.653700	         1.568300	        43.402000	         1.077800	        45.297000	         1.311300	
             6.70	         0.062782	        29.231000	         0.389820	        34.256000	         0.527320	        54.557000	         1.129900	         1.051200	         1.655500	         1.569900	        43.023000	         1.079200	        44.897000	         1.313300	
             6.80	         0.062634	        28.988000	         0.389340	        33.965000	         0.527280	        54.082000	         1.130800	         1.052000	         1.657400	         1.571700	        42.641000	         1.080800	        44.494000	         1.315400	
             6.90	         0.062496	        28.744000	         0.388930	        33.671000	         0.527310	        53.604000	         1.131900	         1.053000	         1.659400	         1.573600	        42.256000	         1.082400	        44.088000	         1.317600	
             7.00	         0.062367	        28.498000	         0.388570	        33.376000	         0.527410	        53.123000	         1.133000	         1.054200	         1.661600	         1.575700	        41.869000	         1.084100	        43.680000	         1.319900	
             7.10	         0.062248	        28.250000	         0.388280	        33.078000	         0.527590	        52.639000	         1.134200	         1.055400	         1.663900	         1.577900	        41.479000	         1.085900	        43.269000	         1.322300	
             7.20	         0.062139	        28.001000	         0.388060	        32.779000	         0.527840	        52.152000	         1.135600	         1.056700	         1.666400	         1.580300	        41.088000	         1.087800	        42.856000	         1.324800	
             7.30	         0.062040	        27.750000	         0.387910	        32.478000	         0.528170	        51.662000	         1.137100	         1.058200	         1.669100	         1.582900	        40.694000	         1.089900	        42.441000	         1.327400	
             7.40	         0.061953	        27.498000	         0.387820	        32.175000	         0.528580	        51.169000	         1.138700	         1.059800	         1.671900	         1.585600	        40.298000	         1.092000	        42.023000	         1.330100	
             7.50	         0.061876	        27.244000	         0.387810	        31.871000	         0.529080	        50.674000	         1.140400	         1.061600	         1.674900	         1.588500	        39.900000	         1.094200	        41.604000	         1.332900	
             7.60	         0.061811	        26.989000	         0.387870	        31.565000	         0.529670	        50.177000	         1.142300	         1.063400	         1.678100	         1.591600	        39.500000	         1.096500	        41.182000	         1.335800	
             7.70	         0.061758	        26.733000	         0.388010	        31.258000	         0.530340	        49.677000	         1.144300	         1.065500	         1.681400	         1.594900	        39.098000	         1.098900	        40.759000	         1.338900	
             7.80	         0.061717	        26.476000	         0.388220	        30.949000	         0.531100	        49.176000	         1.146400	         1.067600	         1.684900	         1.598400	        38.695000	         1.101400	        40.334000	         1.342000	
             7.90	         0.061689	        26.218000	         0.388520	        30.639000	         0.531950	        48.672000	         1.148600	         1.069900	         1.688600	         1.602000	        38.291000	         1.104100	        39.908000	         1.345200	
             8.00	         0.061673	        25.958000	         0.388900	        30.328000	         0.532900	        48.167000	         1.151000	         1.072400	         1.692500	         1.605900	        37.885000	         1.106800	        39.480000	         1.348600	
             8.10	         0.061671	        25.698000	         0.389360	        30.016000	         0.533940	        47.660000	         1.153600	         1.074900	         1.696600	         1.609900	        37.477000	         1.109700	        39.051000	         1.352100	
             8.20	         0.061682	        25.437000	         0.389900	        29.703000	         0.535080	        47.151000	         1.156300	         1.077700	         1.700900	         1.614100	        37.069000	         1.112700	        38.621000	         1.355700	
             8.30	         0.061708	        25.175000	         0.390540	        29.389000	         0.536320	        46.641000	         1.159100	         1.080600	         1.705300	         1.618600	        36.660000	         1.115700	        38.190000	         1.359400	
             8.40	         0.061747	        24.912000	         0.391260	        29.074000	         0.537660	        46.129000	         1.162100	         1.083600	         1.710000	         1.623200	        36.249000	         1.119000	        37.758000	         1.363200	
             8.50	         0.061801	        24.648000	         0.392080	        28.759000	         0.539110	        45.617000	         1.165200	         1.086800	         1.714900	         1.628100	        35.838000	         1.122300	        37.325000	         1.367100	
             8.60	         0.061869	        24.384000	         0.392980	        28.442000	         0.540650	        45.103000	         1.168500	         1.090200	         1.719900	         1.633100	        35.426000	         1.125700	        36.891000	         1.371200	
