            angle	  Ex=0.000(1d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
              0.00          0.047668         15.457000          0.337870         19.742000          0.438430         33.967000          0.761270          0.807950          1.104200          1.168500         28.726000          0.771110         31.079000          0.909260
              0.10          0.047665         15.456000          0.337860         19.740000          0.438410         33.964000          0.761250          0.807930          1.104200          1.168500         28.724000          0.771100         31.076000          0.909260
              0.20          0.047656         15.452000          0.337810         19.736000          0.438370         33.956000          0.761200          0.807880          1.104100          1.168500         28.717000          0.771090         31.069000          0.909250
              0.30          0.047642         15.446000          0.337730         19.728000          0.438300         33.943000          0.761120          0.807810          1.104100          1.168400         28.706000          0.771060         31.057000          0.909250
              0.40          0.047622         15.438000          0.337620         19.717000          0.438190         33.925000          0.761000          0.807700          1.103900          1.168300         28.691000          0.771020         31.041000          0.909240
              0.50          0.047596         15.427000          0.337480         19.704000          0.438060         33.902000          0.760850          0.807560          1.103800          1.168100         28.671000          0.770980         31.020000          0.909230
              0.60          0.047564         15.414000          0.337300         19.687000          0.437900         33.873000          0.760670          0.807390          1.103600          1.167900         28.647000          0.770920         30.994000          0.909220
              0.70          0.047527         15.399000          0.337100         19.667000          0.437710         33.839000          0.760450          0.807180          1.103300          1.167700         28.619000          0.770850         30.963000          0.909210
              0.80          0.047483         15.381000          0.336860         19.645000          0.437490         33.800000          0.760200          0.806950          1.103100          1.167500         28.586000          0.770780         30.927000          0.909200
              0.90          0.047435         15.361000          0.336600         19.619000          0.437250         33.756000          0.759920          0.806690          1.102800          1.167200         28.549000          0.770690         30.887000          0.909180
              1.00          0.047381         15.338000          0.336300         19.590000          0.436970         33.707000          0.759610          0.806400          1.102400          1.166900         28.507000          0.770600         30.842000          0.909170
              1.10          0.047321         15.313000          0.335970         19.559000          0.436670         33.653000          0.759270          0.806080          1.102000          1.166600         28.461000          0.770490         30.793000          0.909150
              1.20          0.047256         15.286000          0.335620         19.524000          0.436340         33.594000          0.758900          0.805740          1.101600          1.166200         28.411000          0.770380         30.739000          0.909140
              1.30          0.047185         15.256000          0.335230         19.486000          0.435990         33.529000          0.758490          0.805360          1.101200          1.165900         28.357000          0.770260         30.680000          0.909130
              1.40          0.047109         15.224000          0.334820         19.446000          0.435610         33.460000          0.758060          0.804960          1.100700          1.165500         28.299000          0.770140         30.617000          0.909120
              1.50          0.047028         15.190000          0.334370         19.402000          0.435200         33.385000          0.757610          0.804540          1.100300          1.165000         28.236000          0.770000         30.549000          0.909110
              1.60          0.046941         15.154000          0.333900         19.356000          0.434770         33.306000          0.757120          0.804090          1.099700          1.164600         28.169000          0.769860         30.477000          0.909100
              1.70          0.046850         15.115000          0.333400         19.307000          0.434320         33.221000          0.756610          0.803610          1.099200          1.164100         28.098000          0.769720         30.400000          0.909090
              1.80          0.046753         15.074000          0.332880         19.255000          0.433840         33.132000          0.756070          0.803120          1.098600          1.163600         28.022000          0.769570         30.319000          0.909090
              1.90          0.046652         15.031000          0.332330         19.200000          0.433330         33.038000          0.755510          0.802600          1.098000          1.163000         27.943000          0.769420         30.233000          0.909090
              2.00          0.046546         14.985000          0.331750         19.142000          0.432810         32.939000          0.754920          0.802050          1.097400          1.162500         27.859000          0.769260         30.143000          0.909100
              2.10          0.046435         14.938000          0.331150         19.081000          0.432260         32.835000          0.754310          0.801490          1.096700          1.161900         27.772000          0.769100         30.048000          0.909110
              2.20          0.046320         14.888000          0.330530         19.018000          0.431700         32.727000          0.753680          0.800910          1.096100          1.161400         27.680000          0.768940         29.949000          0.909130
              2.30          0.046200         14.836000          0.329880         18.952000          0.431110         32.613000          0.753030          0.800320          1.095400          1.160800         27.585000          0.768780         29.846000          0.909160
              2.40          0.046075         14.782000          0.329210         18.883000          0.430500         32.495000          0.752360          0.799700          1.094700          1.160200         27.485000          0.768620         29.738000          0.909190
              2.50          0.045947         14.725000          0.328510         18.812000          0.429880         32.373000          0.751670          0.799070          1.094000          1.159500         27.382000          0.768460         29.627000          0.909230
              2.60          0.045814         14.667000          0.327800         18.737000          0.429240         32.245000          0.750970          0.798430          1.093200          1.158900         27.275000          0.768300         29.511000          0.909280
              2.70          0.045677         14.607000          0.327060         18.660000          0.428580         32.114000          0.750250          0.797770          1.092500          1.158300         27.164000          0.768140         29.391000          0.909340
              2.80          0.045537         14.544000          0.326310         18.581000          0.427900         31.977000          0.749510          0.797110          1.091700          1.157600         27.049000          0.767990         29.267000          0.909420
              2.90          0.045392         14.479000          0.325540         18.499000          0.427210         31.837000          0.748770          0.796430          1.090900          1.157000         26.930000          0.767840         29.139000          0.909500
              3.00          0.045245         14.413000          0.324750         18.414000          0.426510         31.692000          0.748010          0.795750          1.090200          1.156300         26.808000          0.767690         29.007000          0.909600
              3.10          0.045093         14.344000          0.323940         18.327000          0.425790         31.542000          0.747240          0.795050          1.089400          1.155700         26.682000          0.767550         28.871000          0.909710
              3.20          0.044939         14.274000          0.323120         18.237000          0.425070         31.389000          0.746470          0.794360          1.088600          1.155000         26.553000          0.767420         28.731000          0.909840
              3.30          0.044781         14.201000          0.322280         18.145000          0.424330         31.231000          0.745690          0.793660          1.087800          1.154400         26.420000          0.767300         28.587000          0.909980
              3.40          0.044621         14.127000          0.321430         18.051000          0.423580         31.069000          0.744900          0.792950          1.087000          1.153700         26.283000          0.767190         28.440000          0.910140
              3.50          0.044457         14.050000          0.320570         17.954000          0.422830         30.903000          0.744110          0.792250          1.086200          1.153100         26.143000          0.767090         28.288000          0.910320
              3.60          0.044291         13.972000          0.319690         17.854000          0.422070         30.732000          0.743310          0.791550          1.085400          1.152500         26.000000          0.767000         28.134000          0.910520
              3.70          0.044123         13.892000          0.318810         17.753000          0.421300         30.558000          0.742520          0.790850          1.084700          1.151800         25.853000          0.766920         27.975000          0.910740
              3.80          0.043952         13.810000          0.317910         17.649000          0.420530         30.380000          0.741730          0.790150          1.083900          1.151200         25.703000          0.766860         27.813000          0.910980
              3.90          0.043779         13.727000          0.317010         17.543000          0.419750         30.198000          0.740940          0.789460          1.083100          1.150600         25.550000          0.766820         27.648000          0.911240
              4.00          0.043604         13.642000          0.316100         17.434000          0.418970         30.013000          0.740150          0.788780          1.082400          1.150100         25.393000          0.766790         27.479000          0.911520
              4.10          0.043427         13.555000          0.315180         17.324000          0.418190         29.823000          0.739380          0.788110          1.081600          1.149500         25.234000          0.766770         27.306000          0.911830
              4.20          0.043249         13.466000          0.314260         17.211000          0.417410         29.630000          0.738610          0.787450          1.080900          1.149000         25.071000          0.766780         27.131000          0.912170
              4.30          0.043069         13.376000          0.313330         17.096000          0.416630         29.434000          0.737850          0.786810          1.080200          1.148500         24.906000          0.766810         26.952000          0.912530
              4.40          0.042888         13.284000          0.312400         16.979000          0.415860         29.234000          0.737100          0.786180          1.079600          1.148000         24.737000          0.766860         26.770000          0.912920
              4.50          0.042706         13.190000          0.311470         16.861000          0.415090         29.031000          0.736360          0.785560          1.078900          1.147600         24.566000          0.766930         26.585000          0.913340
              4.60          0.042523         13.095000          0.310540         16.740000          0.414320         28.824000          0.735640          0.784970          1.078300          1.147100         24.392000          0.767020         26.397000          0.913790
              4.70          0.042340         12.999000          0.309610         16.617000          0.413560         28.614000          0.734940          0.784390          1.077700          1.146800         24.215000          0.767150         26.206000          0.914280
