 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.238E+01  6.203E-01    2433 A       513 A       557 A   
  11.00 keV   5.463E+01  5.793E-01    2606 A       525 A       577 A   
  12.00 keV   5.674E+01  5.440E-01    2774 A       536 A       595 A   
  13.00 keV   5.872E+01  5.132E-01    2937 A       546 A       611 A   
  14.00 keV   6.057E+01  4.861E-01    3095 A       555 A       627 A   
  15.00 keV   6.232E+01  4.620E-01    3250 A       563 A       641 A   
  16.00 keV   6.397E+01  4.404E-01    3400 A       570 A       655 A   
  17.00 keV   6.552E+01  4.209E-01    3548 A       577 A       668 A   
  18.00 keV   6.699E+01  4.033E-01    3692 A       584 A       680 A   
  20.00 keV   6.969E+01  3.725E-01    3974 A       596 A       702 A   
  22.50 keV   7.267E+01  3.406E-01    4312 A       610 A       727 A   
  25.00 keV   7.528E+01  3.142E-01    4640 A       622 A       750 A   
  27.50 keV   7.756E+01  2.920E-01    4958 A       633 A       771 A   
  30.00 keV   7.955E+01  2.729E-01    5268 A       643 A       790 A   
  32.50 keV   8.130E+01  2.564E-01    5572 A       652 A       808 A   
  35.00 keV   8.283E+01  2.420E-01    5870 A       660 A       825 A   
  37.50 keV   8.416E+01  2.292E-01    6163 A       668 A       840 A   
  40.00 keV   8.532E+01  2.178E-01    6453 A       675 A       855 A   
  45.00 keV   8.718E+01  1.984E-01    7023 A       691 A       883 A   
