 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\25Mg_in_CD2.txt

 Ion = Magnesium [12] , Mass = 24.9858 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.510E+01  2.278E+02     362 A       101 A        77 A   
  11.00 keV   4.730E+01  2.258E+02     394 A       109 A        83 A   
  12.00 keV   4.940E+01  2.236E+02     427 A       117 A        89 A   
  13.00 keV   5.142E+01  2.213E+02     459 A       125 A        95 A   
  14.00 keV   5.336E+01  2.190E+02     491 A       133 A       100 A   
  15.00 keV   5.523E+01  2.167E+02     523 A       140 A       106 A   
  16.00 keV   5.705E+01  2.143E+02     556 A       148 A       112 A   
  17.00 keV   5.880E+01  2.120E+02     589 A       155 A       117 A   
  18.00 keV   6.051E+01  2.096E+02     621 A       163 A       123 A   
  20.00 keV   6.378E+01  2.051E+02     687 A       178 A       134 A   
  22.50 keV   6.765E+01  1.996E+02     771 A       196 A       148 A   
  25.00 keV   7.131E+01  1.943E+02     855 A       215 A       162 A   
  27.50 keV   7.479E+01  1.893E+02     939 A       233 A       176 A   
  30.00 keV   7.811E+01  1.846E+02    1025 A       250 A       189 A   
  32.50 keV   8.130E+01  1.801E+02    1111 A       268 A       203 A   
  35.00 keV   8.437E+01  1.758E+02    1198 A       285 A       217 A   
  37.50 keV   8.733E+01  1.718E+02    1285 A       303 A       231 A   
  40.00 keV   9.020E+01  1.679E+02    1373 A       320 A       245 A   
  45.00 keV   9.567E+01  1.608E+02    1550 A       353 A       272 A   
