 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 05, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\26Mg_in_CD2.txt

 Ion = Magnesium [12] , Mass = 25.98 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.423E+01  2.305E+02     363 A       100 A        76 A   
  11.00 keV   4.639E+01  2.286E+02     395 A       108 A        82 A   
  12.00 keV   4.845E+01  2.265E+02     427 A       115 A        88 A   
  13.00 keV   5.043E+01  2.243E+02     459 A       123 A        94 A   
  14.00 keV   5.233E+01  2.221E+02     491 A       131 A        99 A   
  15.00 keV   5.417E+01  2.198E+02     523 A       138 A       105 A   
  16.00 keV   5.594E+01  2.175E+02     555 A       145 A       110 A   
  17.00 keV   5.766E+01  2.152E+02     588 A       153 A       116 A   
  18.00 keV   5.934E+01  2.129E+02     621 A       160 A       121 A   
  20.00 keV   6.255E+01  2.084E+02     686 A       175 A       133 A   
  22.50 keV   6.634E+01  2.029E+02     769 A       193 A       146 A   
  25.00 keV   6.993E+01  1.977E+02     853 A       211 A       160 A   
  27.50 keV   7.334E+01  1.927E+02     937 A       229 A       173 A   
  30.00 keV   7.660E+01  1.880E+02    1022 A       246 A       187 A   
  32.50 keV   7.973E+01  1.835E+02    1108 A       264 A       201 A   
  35.00 keV   8.274E+01  1.792E+02    1194 A       281 A       214 A   
  37.50 keV   8.565E+01  1.752E+02    1281 A       298 A       228 A   
  40.00 keV   8.845E+01  1.713E+02    1369 A       314 A       241 A   
  45.00 keV   9.382E+01  1.642E+02    1545 A       348 A       268 A   
