            angle	   Ex=0.000(1g9/2)	Ex=1.567(2d5/2)	Ex=2.032(3s1/2)	
              0.00          0.613240          2.716200          0.500650
              1.00          0.612160          2.732200          0.487550
              2.00          0.609020          2.779600          0.449910
              3.00          0.604140          2.856600          0.392450
              4.00          0.598050          2.960200          0.322130
              5.00          0.591490          3.086100          0.246970
              6.00          0.585360          3.229000          0.174790
              7.00          0.580770          3.382500          0.112090
              8.00          0.578960          3.539800          0.063345
              9.00          0.581270          3.694000          0.030778
             10.00          0.589130          3.838800          0.014699
             11.00          0.604000          3.968700          0.014253
             12.00          0.627240          4.079900          0.028415
             13.00          0.660140          4.170700          0.056956
             14.00          0.703760          4.241200          0.101160
             15.00          0.758890          4.293400          0.164100
             16.00          0.825980          4.331000          0.250340
             17.00          0.905090          4.358700          0.365230
             18.00          0.995860          4.381900          0.513740
             19.00          1.097500          4.405900          0.699230
             20.00          1.208700          4.435600          0.922250
             21.00          1.328000          4.475500          1.179800
             22.00          1.453400          4.529400          1.464900
             23.00          1.582800          4.601000          1.767100
             24.00          1.713900          4.693400          2.073100
             25.00          1.844200          4.810100          2.368200
             26.00          1.971400          4.954600          2.637700
             27.00          2.093200          5.130600          2.868800
             28.00          2.207600          5.341900          3.051600
             29.00          2.312700          5.591500          3.180200
             30.00          2.407000          5.881500          3.253300
             31.00          2.489100          6.212400          3.274100
             32.00          2.558400          6.582500          3.249900
             33.00          2.614400          6.987200          3.191500
             34.00          2.657000          7.419500          3.111500
             35.00          2.686600          7.869400          3.023700
             36.00          2.704100          8.325000          2.941800
             37.00          2.710600          8.772600          2.878300
             38.00          2.707500          9.198100          2.843900
             39.00          2.696600          9.587300          2.846800
             40.00          2.679700          9.927700          2.892300
             41.00          2.658600         10.209000          2.982900
             42.00          2.635200         10.423000          3.118100
             43.00          2.611000         10.565000          3.295100
             44.00          2.587500         10.635000          3.508200
             45.00          2.565800         10.635000          3.750300
             46.00          2.546500         10.569000          4.012300
             47.00          2.530200         10.446000          4.284400
             48.00          2.516700         10.275000          4.555900
             49.00          2.505900         10.066000          4.816500
             50.00          2.497100          9.831300          5.056000
             51.00          2.489700          9.580800          5.265400
             52.00          2.482600          9.324600          5.436900
             53.00          2.475000          9.071400          5.564500
             54.00          2.465900          8.828200          5.644200
             55.00          2.454700          8.600500          5.673900
             56.00          2.440500          8.391800          5.653800
             57.00          2.423000          8.203800          5.585900
             58.00          2.401700          8.036800          5.474100
             59.00          2.376700          7.889500          5.323800
