 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\208Pb_in_CD2.txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.148E+02  6.926E+02     243 A        35 A        25 A   
  11.00 keV   1.205E+02  7.192E+02     254 A        36 A        26 A   
  12.00 keV   1.258E+02  7.440E+02     265 A        38 A        27 A   
  13.00 keV   1.309E+02  7.671E+02     276 A        39 A        28 A   
  14.00 keV   1.359E+02  7.888E+02     287 A        40 A        29 A   
  15.00 keV   1.407E+02  8.092E+02     297 A        42 A        30 A   
  16.00 keV   1.453E+02  8.284E+02     307 A        43 A        31 A   
  17.00 keV   1.497E+02  8.467E+02     317 A        44 A        32 A   
  18.00 keV   1.541E+02  8.640E+02     327 A        45 A        33 A   
  20.00 keV   1.624E+02  8.962E+02     345 A        47 A        35 A   
  22.50 keV   1.723E+02  9.326E+02     368 A        50 A        37 A   
  25.00 keV   1.816E+02  9.653E+02     389 A        52 A        39 A   
  27.50 keV   1.904E+02  9.951E+02     410 A        54 A        41 A   
  30.00 keV   1.989E+02  1.022E+03     430 A        57 A        43 A   
  32.50 keV   2.070E+02  1.047E+03     449 A        59 A        45 A   
  35.00 keV   2.149E+02  1.071E+03     469 A        61 A        47 A   
  37.50 keV   2.224E+02  1.092E+03     487 A        63 A        49 A   
  40.00 keV   2.297E+02  1.112E+03     505 A        64 A        50 A   
  45.00 keV   2.436E+02  1.148E+03     541 A        68 A        54 A   
