        Ex        raw        sub        fit         f0         f1         f2         f3         f4         f5         f6
  -1.98497   35.00000    7.54983    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.95492   32.00000    4.40735    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.92486   28.00000    0.26488    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.89481   33.00000    5.12240    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.86475   29.00000    0.97993    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.83470   25.00000   -3.16255    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.80464   20.00000   -8.30503    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.77459   37.00000    8.55250    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.74454   32.00000    3.41002    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.71448   36.00000    7.26754    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.68443   27.00000   -1.87493    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.65437   39.00000    9.98259    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.62432   25.00000   -4.15989    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.59426   31.00000    1.69764    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.56421   30.00000    0.55516    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.53415   30.00000    0.41269    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.50410   38.00000    8.27021    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.47404   26.00000   -3.87226    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.44399   39.00000    8.98526    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.41393   36.00000    5.84278    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.38388   24.00000   -6.29969    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.35383   28.00000   -2.44217    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.32377   31.00000    0.41535    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.29372   31.00000    0.27288    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.26366   39.00000    8.13040    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.23361   24.00000   -7.01208    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.20355   29.00000   -2.15455    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.17350   28.00000   -3.29703    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.14344   23.00000   -8.43950    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.11339   24.00000   -7.58198    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.08333   33.00000    1.27555    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.05328   49.00000   17.13307    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -1.02322   31.00000   -1.00941    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.99317   27.00000   -5.15188    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.96311   31.00000   -1.29436    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.93306   28.00000   -4.43684    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.90301   42.00000    9.42069    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.87295   35.00000    2.27821    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.84290   33.00000    0.13573    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.81284   26.00000   -7.00674    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.78279   50.00000   16.85078    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.75273   32.00000   -1.29169    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.72268   27.00000   -6.43417    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.69262   29.00000   -4.57664    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.66257   37.00000    3.28088    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.63251   33.00000   -0.86160    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.60246   31.00000   -3.00407    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.57240   37.00000    2.85345    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.54235   40.00000    5.71097    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.51230   31.00000   -3.43150    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.48224   35.00000    0.42602    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.45219   25.00000   -9.71645    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.42213   40.00000    5.14107    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.39208   28.00000   -7.00141    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.36202   40.00000    4.85612    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.33197   21.00000  -14.28636    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.30191   20.00000  -15.42884    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.27186   38.00000    2.42869    0.00004    0.00004    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.24180   35.00000   -0.71379    0.00097    0.00097    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.21175   32.00000   -3.85626    0.01465    0.01465    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.18169   34.00000   -1.99874    0.15499    0.15499    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.15164   40.00000    3.85878    1.14362    1.14362    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.12158   41.00000    4.71631    5.88495    5.88495    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.09153   55.00000   18.57383   21.11943   21.11943    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.06148   81.00000   44.43135   52.85669   52.85669    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.03142  140.00000  103.28888   92.25641   92.25641    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  -0.00137  144.00000  107.14641  112.29794  112.29794    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.02869  135.00000   98.00392   95.32915   95.32915    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.05874   89.00000   51.86145   56.43628   56.43628    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.08880   83.00000   45.71898   23.30074   23.30074    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.11885   47.00000    9.57650    6.70903    6.70903    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.14891   26.00000  -11.56598    1.34719    1.34719    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.17896   37.00000   -0.70845    0.18866    0.18866    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.20902   32.00000   -5.85093    0.01842    0.01842    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.23907   39.00000    1.00659    0.00125    0.00125    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.26913   26.00000  -12.13588    0.00006    0.00006    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.29918   34.00000   -4.27836    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.32923   34.00000   -4.42083    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.35929   50.00000   11.43669    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.38934   43.00000    4.29421    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.41940   41.00000    2.15174    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.44945   40.00000    1.00926    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.47951   34.00000   -5.13322    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.50956   41.00000    1.72431    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.53962   40.00000    0.58183    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.56967   41.00000    1.43936    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.59973   37.00000   -2.70312    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.62978   34.00000   -5.84560    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.65984   27.00000  -12.98807    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.68989   41.00000    0.86945    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.71995   45.00000    4.72697    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.75000   37.00000   -3.41550    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.78005   48.00000    7.44202    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.81011   42.00000    1.29955    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.84016   42.00000    1.15707    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   0.87022   33.00000   -7.98540    0.00001    0.00000    0.00001    0.00000    0.00000    0.00000    0.00000    0.00000
   0.90027   39.00000   -2.12788    0.00021    0.00000    0.00021    0.00000    0.00000    0.00000    0.00000    0.00000
   0.93033   33.00000   -8.27036    0.00284    0.00000    0.00284    0.00000    0.00000    0.00000    0.00000    0.00000
   0.96038   27.00000  -14.41283    0.02868    0.00000    0.02868    0.00000    0.00000    0.00000    0.00000    0.00000
   0.99044   29.00000  -12.55531    0.22079    0.00000    0.22079    0.00000    0.00000    0.00000    0.00000    0.00000
   1.02049   42.00000    0.30221    1.29327    0.00000    1.29327    0.00000    0.00000    0.00000    0.00000    0.00000
