    Ex    raw    sub    fit     f0     f1     f2     f3     f4     f5     f6
 -1.98  35.00   7.55   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.95  32.00   4.41   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.92  28.00   0.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.89  33.00   5.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.86  29.00   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.83  25.00  -3.16   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.80  20.00  -8.31   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.77  37.00   8.55   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.74  32.00   3.41   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.71  36.00   7.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.68  27.00  -1.87   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.65  39.00   9.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.62  25.00  -4.16   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.59  31.00   1.70   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.56  30.00   0.56   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.53  30.00   0.41   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.50  38.00   8.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.47  26.00  -3.87   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.44  39.00   8.99   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.41  36.00   5.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.38  24.00  -6.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.35  28.00  -2.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.32  31.00   0.42   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.29  31.00   0.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.26  39.00   8.13   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.23  24.00  -7.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.20  29.00  -2.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.17  28.00  -3.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.14  23.00  -8.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.11  24.00  -7.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.08  33.00   1.28   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.05  49.00  17.13   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -1.02  31.00  -1.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.99  27.00  -5.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.96  31.00  -1.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.93  28.00  -4.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.90  42.00   9.42   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.87  35.00   2.28   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.84  33.00   0.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.81  26.00  -7.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.78  50.00  16.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.75  32.00  -1.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.72  27.00  -6.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.69  29.00  -4.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.66  37.00   3.28   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.63  33.00  -0.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.60  31.00  -3.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.57  37.00   2.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.54  40.00   5.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.51  31.00  -3.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.48  35.00   0.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.45  25.00  -9.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.42  40.00   5.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.39  28.00  -7.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.36  40.00   4.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.33  21.00 -14.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.30  20.00 -15.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.27  38.00   2.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.24  35.00  -0.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 -0.21  32.00  -3.86   0.01   0.01   0.00   0.00   0.00   0.00   0.00   0.00
 -0.18  34.00  -2.00   0.15   0.15   0.00   0.00   0.00   0.00   0.00   0.00
 -0.15  40.00   3.86   1.14   1.14   0.00   0.00   0.00   0.00   0.00   0.00
 -0.12  41.00   4.72   5.88   5.88   0.00   0.00   0.00   0.00   0.00   0.00
 -0.09  55.00  18.57  21.12  21.12   0.00   0.00   0.00   0.00   0.00   0.00
 -0.06  81.00  44.43  52.86  52.86   0.00   0.00   0.00   0.00   0.00   0.00
 -0.03 140.00 103.29  92.26  92.26   0.00   0.00   0.00   0.00   0.00   0.00
 -0.00 144.00 107.15 112.30 112.30   0.00   0.00   0.00   0.00   0.00   0.00
  0.03 135.00  98.00  95.33  95.33   0.00   0.00   0.00   0.00   0.00   0.00
  0.06  89.00  51.86  56.44  56.44   0.00   0.00   0.00   0.00   0.00   0.00
  0.09  83.00  45.72  23.30  23.30   0.00   0.00   0.00   0.00   0.00   0.00
  0.12  47.00   9.58   6.71   6.71   0.00   0.00   0.00   0.00   0.00   0.00
  0.15  26.00 -11.57   1.35   1.35   0.00   0.00   0.00   0.00   0.00   0.00
  0.18  37.00  -0.71   0.19   0.19   0.00   0.00   0.00   0.00   0.00   0.00
  0.21  32.00  -5.85   0.02   0.02   0.00   0.00   0.00   0.00   0.00   0.00
  0.24  39.00   1.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.27  26.00 -12.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.30  34.00  -4.28   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.33  34.00  -4.42   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.36  50.00  11.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.39  43.00   4.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.42  41.00   2.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.45  40.00   1.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.48  34.00  -5.13   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.51  41.00   1.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.54  40.00   0.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.57  41.00   1.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.60  37.00  -2.70   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.63  34.00  -5.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.66  27.00 -12.99   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.69  41.00   0.87   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.72  45.00   4.73   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.75  37.00  -3.42   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.78  48.00   7.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.81  42.00   1.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.84  42.00   1.16   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.87  33.00  -7.99   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.90  39.00  -2.13   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.93  33.00  -8.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.96  27.00 -14.41   0.03   0.00   0.03   0.00   0.00   0.00   0.00   0.00
  0.99  29.00 -12.56   0.22   0.00   0.22   0.00   0.00   0.00   0.00   0.00
  1.02  42.00   0.30   1.29   0.00   1.29   0.00   0.00   0.00   0.00   0.00
  1.05  50.00   8.16   5.76   0.00   5.76   0.00   0.00   0.00   0.00   0.00
  1.08  62.00  20.02  19.56   0.00  19.56   0.00   0.00   0.00   0.00   0.00
  1.11  97.00  54.87  50.49   0.00  50.49   0.00   0.00   0.00   0.00   0.00
  1.14 152.00 109.73  99.19   0.00  99.19   0.00   0.00   0.00   0.00   0.00
  1.17 188.00 145.59 148.30   0.00 148.30   0.00   0.00   0.00   0.00   0.00
  1.20 219.00 176.45 168.74   0.00 168.74   0.00   0.00   0.00   0.00   0.00
  1.23 178.00 135.30 146.11   0.00 146.11   0.00   0.00   0.00   0.00   0.00
  1.26 126.00  83.16  96.28   0.00  96.28   0.00   0.00   0.00   0.00   0.00
  1.29  98.00  55.02  48.28   0.00  48.28   0.00   0.00   0.00   0.00   0.00
  1.32  66.00  22.88  18.43   0.00  18.43   0.00   0.00   0.00   0.00   0.00
  1.35  62.00  18.73   5.37   0.00   5.35   0.02   0.00   0.00   0.00   0.00
  1.38  41.00  -2.41   1.30   0.00   1.18   0.12   0.00   0.00   0.00   0.00
  1.41  43.00  -0.55   0.77   0.00   0.20   0.57   0.00   0.00   0.00   0.00
  1.44  48.00   4.31   2.14   0.00   0.03   2.11   0.00   0.00   0.00   0.00
  1.47  62.00  18.17   6.16   0.00   0.00   6.16   0.00   0.00   0.00   0.00
  1.50  59.00  15.02  14.09   0.00   0.00  14.09   0.00   0.00   0.00   0.00
  1.53  67.00  22.88  25.38   0.00   0.00  25.37   0.01   0.00   0.00   0.00
  1.56  76.00  31.74  36.02   0.00   0.00  35.93   0.09   0.00   0.00   0.00
  1.59  94.00  49.60  40.51   0.00   0.00  40.02   0.49   0.00   0.00   0.00
  1.62  77.00  32.45  37.22   0.00   0.00  35.06   2.16   0.00   0.00   0.00
  1.65  91.00  46.31  31.69   0.00   0.00  24.16   7.53   0.00   0.00   0.00
  1.68  66.00  21.17  34.00   0.00   0.00  13.09  20.89   0.02   0.00   0.00
  1.71 109.00  64.03  51.74   0.00   0.00   5.58  46.03   0.13   0.00   0.00
  1.74 148.00 102.88  83.11   0.00   0.00   1.87  80.61   0.63   0.00   0.00
  1.77 135.00  89.74 115.20   0.00   0.00   0.49 112.16   2.55   0.00   0.00
  1.80 184.00 138.60 132.41   0.00   0.00   0.10 123.99   8.31   0.00   0.00
  1.83 193.00 147.46 130.70   0.00   0.00   0.02 108.92  21.76   0.00   0.00
  1.86 162.00 116.31 121.87   0.00   0.00   0.00  76.03  45.84   0.00   0.00
  1.89 172.00 126.17 119.87   0.00   0.00   0.00  42.17  77.71   0.00   0.00
  1.92 187.00 141.03 124.56   0.00   0.00   0.00  18.58 105.98   0.00   0.00
  1.95 161.00 114.89 122.81   0.00   0.00   0.00   6.51 116.30   0.00   0.00
  1.98 145.00  98.74 104.49   0.00   0.00   0.00   1.81 102.68   0.00   0.00
  2.01 130.00  83.60  73.35   0.00   0.00   0.00   0.40  72.94   0.00   0.00
  2.04  78.00  31.46  41.76   0.00   0.00   0.00   0.07  41.69   0.00   0.00
  2.07  65.00  18.32  19.19   0.00   0.00   0.00   0.01  19.17   0.01   0.00
  2.10  59.00  12.17   7.18   0.00   0.00   0.00   0.00   7.09   0.08   0.00
  2.13  53.00   6.03   2.63   0.00   0.00   0.00   0.00   2.11   0.52   0.00
  2.16  40.00  -7.11   3.07   0.00   0.00   0.00   0.00   0.51   2.56   0.00
  2.19  53.00   5.75  10.01   0.00   0.00   0.00   0.00   0.10   9.91   0.00
