 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\209Pb_in_CD2.txt

 Ion = Lead [82] , Mass = 208.9 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.146E+02  6.915E+02     243 A        35 A        25 A   
  11.00 keV   1.202E+02  7.182E+02     255 A        36 A        26 A   
  12.00 keV   1.255E+02  7.429E+02     266 A        38 A        27 A   
  13.00 keV   1.307E+02  7.660E+02     277 A        39 A        28 A   
  14.00 keV   1.356E+02  7.877E+02     288 A        40 A        29 A   
  15.00 keV   1.403E+02  8.081E+02     298 A        42 A        30 A   
  16.00 keV   1.449E+02  8.273E+02     308 A        43 A        31 A   
  17.00 keV   1.494E+02  8.456E+02     318 A        44 A        32 A   
  18.00 keV   1.537E+02  8.629E+02     327 A        45 A        33 A   
  20.00 keV   1.621E+02  8.951E+02     346 A        47 A        35 A   
  22.50 keV   1.719E+02  9.314E+02     368 A        50 A        37 A   
  25.00 keV   1.812E+02  9.642E+02     390 A        52 A        39 A   
  27.50 keV   1.900E+02  9.939E+02     411 A        54 A        41 A   
  30.00 keV   1.985E+02  1.021E+03     431 A        57 A        43 A   
  32.50 keV   2.066E+02  1.046E+03     450 A        59 A        45 A   
  35.00 keV   2.144E+02  1.069E+03     469 A        61 A        47 A   
  37.50 keV   2.219E+02  1.091E+03     488 A        63 A        49 A   
  40.00 keV   2.292E+02  1.111E+03     506 A        64 A        50 A   
  45.00 keV   2.431E+02  1.147E+03     542 A        68 A        54 A   
