                                              file,     #event, size[MB], duration[s]
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run01.root,     499001,    31.46,     136.920
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run02.root,     452282,    38.12,     913.898
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run03.root,     766486,    59.55,    1534.938
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run04.root,     311175,    28.26,     806.268
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run05.root,     547582,    39.22,     635.519
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run06.root,     565378,    45.90,    1465.039
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run07.root,     477581,    31.56,     848.742
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run08.root,     734289,    43.93,    1161.478
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run09.root,     913657,    54.62,    1542.015
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run10.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run11.root,    1923054,    92.10,    3280.638
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run12.root,     117082,     9.04,     905.821
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run13.root,     841779,    55.16,    5921.765
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run14.root,      10261,     0.82,      74.404
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run15.root,      81849,     6.57,     602.940
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run16.root,     153898,    12.39,    1087.530
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run17.root,      51064,     4.13,    1412.358
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run18.root,      50994,     4.13,    1503.136
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run19.root,      51459,     4.16,    1701.370
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run20.root,      41040,     3.34,    1693.484
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run21.root,      40337,     3.31,    1293.888
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run22.root,      39184,     3.26,    1326.193
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run23.root,      39734,     3.29,    1354.522
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run24.root,      39607,     3.29,    1402.855
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run25.root,      40276,     3.32,    1194.205
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run26.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run27.root,     415845,    29.94,    1749.192
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run28.root,     195211,    13.95,     885.176
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run29.root,    1299692,    70.73,    6390.702
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run30.root,    1766736,    92.92,    9183.915
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run31.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run32.root,      64604,     4.63,    1384.893
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run33.root,     421934,    30.89,    9523.922
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run34.root,     409950,    30.86,    8913.830
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run35.root,     301707,    22.06,    3568.964
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run36.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run37.root,      63571,     4.95,    1323.782
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run38.root,     143875,    11.17,    3302.953
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run39.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run40.root,    1402996,    83.18,   16613.300
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run41.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run42.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run43.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run44.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run45.root,          0,     0.01,       0.000
         ~/ANALYSIS/RUNs/H060_208Pb/gen_run46.root,     790161,    50.63,    8851.781
